Rank,Released,Movies,worldwide box office $,domestic box office $,international box office $
527,2002,K-19: The Widowmaker,65716126,35168966,30547160
528,2006,16 Blocks,65595141,36895141,28700000
529,2011,Killer Elite,65409046,25124986,40284060
530,2021,Wu Xian Shen Du,64900464,0,64900464
531,2010,Haeundae,64733391,0,64733391
532,2017,Meitantei Konan: Kara Kurenai no Rabu Retta,64724172,0,64724172
533,2011,The Darkest Hour,64626786,21443494,43183292
534,2011,Tropa de Elite 2: O Inimigo Agora É Outro,64307758,100119,64207639
535,2015,Bai tuan da zhan,64220000,0,64220000
536,2015,Zhong Kui fu mo: Xue yao mo ling,64036296,165428,63870868
537,2018,L Feng Bao,63931005,0,63931005
538,1989,Tango & Cash,63408614,63408614,0
539,2011,Conan the Barbarian,63356133,21295021,42061112
540,2013,Kick-Ass 2,63129909,28795985,34333924
541,1997,The Peacemaker,62967368,41263140,21704228
542,2021,Sao Hei Jue Zhan,62810000,0,62810000
543,2000,Proof of Life,62761005,32598931,30162074
544,2009,Ninja Assassin,62209892,38122883,24087009
545,2014,A Walk Among the Tombstones,62108587,26017685,36090902
546,2015,Bai Fa Mo Nu Zhuan Zhi Ming Yue Tian Guo,61850000,0,61850000
547,1999,The 13th Warrior,61698899,32698899,29000000
548,2017,The Founding of an Army,60600360,0,60600360
549,2002,I Spy,60279822,33561137,26718685
550,1963,Dr. No,59567035,16067035,43500000
551,1991,The Last Boy Scout,59509925,59509925,0
552,2019,Baekdusan,59505509,372562,59132947
553,2022,Moonfall,59053195,19060660,39992535
554,2001,Behind Enemy Lines,58855732,58855732,0
555,2017,Chāi dàn zhuānjiā,58807172,0,58807172
556,2015,Doragon bôru Z: Fukkatsu no 'F',58408363,8008363,50400000
557,1981,The Cannonball Run,57498710,57498710,0
558,2019,Zhu Xian,56911144,0,56911144
559,2005,Elektra,56824633,24409722,32414911
560,1980,The Final Countdown,56647800,16647800,40000000
561,2022,Hansan Yongeui Chulhyeon (한산: 용의 출현),56525688,865888,55659800
562,2017,Confidential Assignment,56450663,475618,55975045
563,2003,Cradle 2 the Grave,56434942,34657731,21777211
564,2007,We Own the Night,55307857,28563179,26744678
565,1990,Predator 2,54768418,28317513,26450905
566,2001,Driven,54616869,32616869,22000000
567,2003,National Security,54599300,36288951,18310349
568,2004,The Punisher,54533774,33664370,20869404
569,2016,The Age of Shadows (밀정),54500169,540268,53959901
570,1987,RoboCop,54125172,53424681,700491
571,2005,Aeon Flux,53913573,25857987,28055586
572,2015,Hollywood Adventures,53246837,0,53246837
573,2011,Choi-jong-byeong-gi-hwal,52760691,40685,52720006
574,1993,Nowhere to Run,52189039,22189039,30000000
575,2017,The Outlaws,52097753,0,52097753
576,2018,Peppermint,51800758,35418723,16382035
577,1996,Maximum Risk,51702929,14102929,37600000
578,2013,Homefront,51695362,20158492,31536870
579,1992,Sneakers,51433000,51433000,0
580,1997,Mortal Kombat: Annihilation,51327406,35927406,15400000
581,1978,Hooper,51290536,51290536,0
582,2011,Bodyguard,51119758,1834384,49285374
583,1994,The Crow,51094306,50638075,456231
584,2016,Master,51007693,584298,50423395
585,1977,A Bridge Too Far,50800000,50800000,0
586,2013,Feng Bao,50770000,0,50770000
587,2003,Hollywood Homicide,50409753,30207785,20201968
588,2012,Red Tails,50365498,49876377,489121
589,1962,The Longest Day,50100000,39100000,11000000
590,2011,Ip Man: Legend of the Grand Master,49721954,205675,49516279
591,2016,Operation Chromite,49196532,1022720,48173812
592,1998,The Negotiator,49105766,44705766,4400000
593,1986,Cobra,49042224,49042224,0
594,2005,Danny the Dog,49037621,24537621,24500000
595,2018,Death Wish,48575965,34017028,14558937
596,2013,The Last Stand,48330757,12050299,36280458
597,2013,Bereurlin,48314840,0,48314840
598,2012,Red Dawn,48164150,44806783,3357367
599,2017,Kōng tiān liè,48069252,0,48069252
600,2020,I’m From Today!,47895889,0,47895889
601,2017,Ji Qi Zhi Xue,47872755,0,47872755
602,2004,Walking Tall,47856383,46213824,1642559
603,2023,Plane,47855350,32111181,15744169
604,2020,Monster Hunter,47853893,15162470,32691423
605,1991,New Jack City,47624253,47624253,0
606,1990,Hard To Kill,47381527,47381386,141
607,2003,The Hunted,47213095,34234008,12979087
608,1993,Fortress,46730578,6730578,40000000
609,1988,Colors,46616067,46616067,0
610,2008,Bangkok Dangerous,46598133,15298133,31300000
611,1991,The Rocketeer,46573027,46573027,0
612,2010,Machete,46370970,26593646,19777324
613,2017,Qi Man Dun Jia,46263233,124187,46139046
614,1976,The Enforcer,46200000,46200000,0
615,2004,Torque,46176322,21176322,25000000
616,2018,Huang Jin Xiong Di,46165078,285795,45879283
617,2020,Ji Xian Feng,45986345,793525,45192820
618,1982,Firefox,45785720,45785720,0
619,2017,Gintama,45776563,0,45776563
620,2019,Zhui Long 2: Zhui Ji Da Fu Hao,45738461,196634,45541827
621,2017,Xin Li Zui,45698504,0,45698504
622,1990,RoboCop 2,45681173,45681173,0
623,1991,Thelma & Louise,45459688,45361000,98688
624,1978,Convoy,45000000,45000000,0
625,1973,Magnum Force,44680473,44680473,0
626,2011,Ra. One,44549121,2509150,42039971
627,2010,Shi Yue Wei Cheng,44195779,0,44195779
628,1992,Passenger 57,44065653,44065653,0
629,2002,The Transporter,43928932,25296447,18632485
630,2006,Crank,43924923,27838408,16086515
631,2003,A Man Apart,43797731,26500000,17297731
632,2016,Feng Shen Bang,43415987,143430,43272557
633,2021,Rurôni Kenshin: Sai shûshô - The Final,43384254,0,43384254
634,1990,Marked for Death,43224499,43224499,0
635,2006,Tom yum goong,43044087,12044087,31000000
636,1986,Heartbreak Ridge,42724017,42724017,0
637,1983,Blue Thunder,42313354,42313354,0
638,1968,Bullitt,42300945,42300873,72
639,2010,Joheunnom nabbeunnom isanghannom,42226657,128486,42098171
640,2009,Gamer,42002029,20534907,21467122
641,2019,Masukarêdo hoteru,41885312,0,41885312
642,2012,Meitantei Conan: Juichi-ninme no Striker,41863105,0,41863105
643,2018,Ansisung,41754733,472166,41282567
644,2012,Safe,41495213,17142080,24353133
645,2012,Dredd,41467606,13414714,28052892
646,1997,Money Talks,41076865,41076865,0
647,2011,Drive Angry,41042583,10721033,30321550
648,2007,War,40686409,22486409,18200000
649,2014,Sin City: A Dame to Kill For,40650842,13757804,26893038
650,2010,Ajeossi,40650572,0,40650572
651,2015,Yeonpyeonghaejeon,40380376,0,40380376
652,2005,Serenity,40319440,25514517,14804923
653,2017,xiu chun dao II: xiu luo zhan chang,39965792,14204,39951588
654,2009,Cirque du Freak: The Vampire's Assistant,39753957,14046595,25707362
655,2017,Cheongnyeon Gyeongchal,39737402,0,39737402
656,1991,Out for Justice,39673161,39673161,0
657,2006,Dhoom 2,39643586,2643586,37000000
658,2008,Never Back Down,39319801,24850922,14468879
659,2018,Overlord,39178189,21704844,17473345
660,2008,The Spirit,39006188,19806188,19200000
661,2011,The Eagle,38993548,19490041,19503507
662,1984,Red Dawn,38900000,38900000,0
663,2010,Tau ming chong,38899792,129078,38770714
664,2007,Dnevnoy dozor,38870910,459095,38411815
665,2013,Doragon Bōru Zetto Kami to Kami,38848780,0,38848780
666,1989,"The Karate Kid, Part III",38793278,38793278,0
667,2015,Criminal,38771262,14708696,24062566
668,2021,Jin Qian Di Guo Zhui: Hu Qin Long,38611941,0,38611941
669,1994,On Deadly Ground,38590458,38590458,0
670,1996,The Ghost and the Darkness,38564422,38564422,0
671,2016,"Crouching Tiger, Hidden Dragon: Sword of Destiny",38452981,0,38452981
672,2014,Bang Bang,38381138,2581138,35800000
673,1984,City Heat,38348988,38348988,0
674,2004,After the Sunset,38329114,28328132,10000982
675,1987,The Running Man,38122000,38122000,0
676,1988,The Dead Pool,37903000,37903000,0
677,2016,Mission Milano,37834435,0,37834435
678,2019,Bloodshot,37163054,10021787,27141267
679,2019,Fan Zui Xian Chang,37092694,0,37092694
680,2001,Kiss of the Dragon,36833473,36833473,0
681,1972,The Getaway,36734619,36734619,0
682,1987,Superman IV: The Quest for Peace,36700000,14522355,22177645
683,1996,The Glimmer Man,36404841,20404841,16000000
684,2017,Raid Dingue,36360000,0,36360000
685,1992,Universal Soldier,36299898,36299898,0
686,1996,Rumble in the Bronx,36238752,32281907,3956845
687,1985,Mad Max Beyond Thunderdome,36230219,36230219,0
688,2005,Assault On Precinct 13,36040895,20040895,16000000
689,2006,Wu ji,35869934,669625,35200309
690,2010,Faster,35792945,23240020,12552925
691,1977,The Gauntlet,35400000,35400000,0
692,1985,Commando,35078913,35073978,4935
693,2011,Shaolin,35066099,66099,35000000
694,1988,Red Heat,34994648,34994648,0
695,2021,Snake Eyes: G.I. Joe Origins,34677221,28264325,6412896
696,2012,Ta-weo,34411903,726,34411177
697,2011,Don 2,34053090,3674480,30378610
698,2006,Nochnoy dozor,33913542,1502188,32411354
699,2022,Detective Conan: The Bride of Halloween,33777282,0,33777282
700,2013,Gamshijadeul,33551732,0,33551732
701,2000,Red Planet,33463969,17480890,15983079
702,1996,The Long Kiss Goodnight,33447612,33447612,0
703,1968,Planet of the Apes,33398936,33395426,3510
704,2015,Chek dou,33349429,0,33349429
705,2017,Gangcheolbi,33276122,0,33276122
706,1985,The Last Dragon,33000447,33000000,447
707,1990,Darkman,32942739,32942739,0
708,1990,Air America,32914515,30506847,2407668
709,2009,Fighting,32831707,23091010,9740697
710,2019,Anna,32825217,7743794,25081423
711,2022,heonteu (헌트),32687164,25994,32661170
712,2012,Fetih 1453,32481209,0,32481209
713,2006,Krrish,32430721,1430721,31000000
714,2018,Baaghi 2,32408855,1319579,31089276
715,2012,Agneepath,32186870,1973574,30213296
716,2011,Bai she chuan shuo,32142621,18759,32123862
717,1992,The Lawnmower Man,32100816,32100816,0
718,2013,Man Tam,32061558,0,32061558
719,1997,Metro,32017895,32017895,0
720,2016,Bounty Hunters,31956249,0,31956249
721,1994,The Shadow,31835600,31835600,0
722,1998,Mr. Nice Guy,31716953,12716953,19000000
723,1993,Hard Target,31636358,31636358,0
724,2010,Robot,31267492,2276427,28991065
725,2023,Long Ma Jing Shen (龙马精神),31047409,64759,30982650
726,2006,Ultraviolet,30962112,18522064,12440048
727,2004,Zatoichi,30874550,853718,30020832
728,2007,Pathfinder,30822861,10232081,20590780
729,2018,Gintama 2: Okite wa Yaburu tame ni koso Aru,30798089,0,30798089
730,1999,Virus,30626690,14010690,16616000
731,2009,Chi Bi Juezhan Tianxia,30500000,0,30500000
732,2016,S Storm,30463603,0,30463603
733,2015,Mortdecai,30396134,7696134,22700000
734,2004,Silmido,30298347,298347,30000000
735,1989,Road House,30050028,30050028,0
736,2008,The Chaser,30049670,0,30049670
737,1975,Rollerball,30000000,30000000,0
738,2017,Ni Shi Ying Jiu,29945246,108970,29836276
739,2010,The Losers,29863840,23591432,6272408
740,2021,Mogadisyu,29848779,342598,29506181
741,2001,Double Take,29823162,29823162,0
742,2019,Gekijô-ban poketto monsutâ - Myûtsû no gyakushû…,29753435,0,29753435
743,2000,Battlefield Earth: A Saga of the Year 3000,29725663,21471685,8253978
744,2006,Taepung,29592720,139059,29453661
745,2012,Si da ming bu,29567632,0,29567632
746,2013,Race 2,29476034,1579940,27896094
747,2008,Singh is Kinng,29339790,2523511,26816279
748,1994,A Low Down Dirty Shame,29317886,29317886,0
749,2013,Meitantei Konan Zekkai no Puraibēto Ai,29302051,0,29302051
750,1988,Shoot to Kill,29300000,29300000,0
751,2012,Wu Xia,29284214,11300,29272914
752,2015,Jie jiu wu xian sheng,29201927,92696,29109231
753,2022,The Unbearable Weight of Massive Talent,29116320,20300157,8816163
754,2016,Viking,29099751,0,29099751
755,1991,Double Impact,29090445,29090445,0
756,1992,3 Ninjas,29028000,29028000,0
757,2001,Heist,28906817,23483357,5423460
758,2012,Baramgwa hamjje sarajida,28686545,0,28686545
759,1994,Drop Zone,28607015,28607015,0
760,2015,Shingeki no kyojin,28528388,258794,28269594
761,2020,Soul Snatcher,28501108,0,28501108
762,2014,Sin-ui Hansu,28211214,0,28211214
763,1971,Dirty Harry,28153434,28153434,0
764,2011,Huà Bì,28134879,0,28134879
765,2018,Thugs of Hindostan,27942770,1449848,26492922
766,1983,Uncommon Valor,27900000,27900000,0
767,2008,RocknRolla,27794339,5700626,22093713
768,2023,Operation Fortune: Ruse de guerre,27542984,6496125,21046859
769,1984,Dune,27503491,27447471,56020
770,1981,Victory,27453000,10853000,16600000
771,2015,Detective K: Secret of the Lost Island,27230725,0,27230725
772,1980,Flash Gordon,27176976,27107960,69016
773,1998,The Big Hit,27073371,27066941,6430
774,2021,Chaos Walking,27072169,13287908,13784261
775,2003,Bulletproof Monk,26922492,23010607,3911885
776,1982,Tron,26919100,26918576,524
777,2011,Jing mo fung wan: Chen Zhen,26822441,50433,26772008
778,2017,Judwaa 2,26797432,1431255,25366177
779,2007,Shoot 'Em Up,26796824,12796824,14000000
780,2015,Baahubali: The Beginning,26736665,6738000,19998665
781,2008,Gonggongui jeog 3,26497132,0,26497132
782,1984,Conan the Destroyer,26400000,26400000,0
783,1995,Fair Game,26097497,11497497,14600000
784,2022,Sǎo Hēi Xíng Dòng (扫黑行动),25880000,0,25880000
785,2002,Rollerball,25852508,18990542,6861966
786,2019,Akinjeon,25561514,216494,25345020
787,1996,Escape from L.A.,25426861,25426861,0
788,2012,逆战 (Jik zin),25414221,0,25414221
789,2007,The Last Legion,25357771,5932060,19425711
790,1981,Escape from New York,25275289,25244700,30589
791,2008,Race,25195835,1367024,23828811
792,2011,Ivan Tsarevich i Seryy Volk,25047727,0,25047727
793,2016,Call of Heroes,25040561,0,25040561
794,2013,Te shu shen fen,25040000,0,25040000
795,1974,Thunderbolt and Lightfoot,25000000,25000000,0
796,2006,Kurtlar vadisi - Irak,24906717,0,24906717
797,2022,Bian Yuan Xing Zhe (边缘行者),24860818,0,24860818
798,2019,Tian Huo Wei Qing,24825246,1105,24824141
799,1990,Navy SEALs,24824126,24824126,0
800,2012,Tai Chi Zero,24790553,212094,24578459
801,1981,Mad Max 2: The Road Warrior,24601332,24600832,500
802,2015,Bou Chau Mai Sing,24405298,32053,24373245
803,2018,Manyeo,24217796,0,24217796
804,1986,Iron Eagle,24159872,24159872,0
805,2005,Ong-Bak,24051852,4563167,19488685
806,1995,Virtuosity,23998226,23998226,0
807,2021,The Marksman,23855847,15566093,8289754
808,2012,Da Shang Hai,23824720,0,23824720
809,1993,Striking Distance,23798623,23798623,0
810,2008,"OSS 117: Le Caire, nid d'espions",23726360,303328,23423032
811,2005,Domino,23574057,10169202,13404855
812,2012,Xiao Shi De Zi Dan,23490000,0,23490000
813,2000,Reindeer Games,23360779,23360779,0
814,2017,CHiPS,23190292,18600152,4590140
815,1984,Missing in Action,22812411,22812411,0
816,2019,Shéntàn púsōng líng,22799838,0,22799838
817,2019,Black and Blue,22730144,22012729,717415
818,2012,Raia Gemu Saisei,22713078,0,22713078
819,2017,Extraordinary Mission,22682660,0,22682660
820,2013,Seupai,22614450,0,22614450
821,2013,Bullet to the Head,22597969,9489829,13108140
822,1991,Lionheart,22545360,22545360,0
823,1979,The Warriors,22490943,22490000,943
824,2009,Chernaya Molniya,22435112,0,22435112
825,2018,Yun Nan Chong Gu Yunnan Valley,22369964,101516,22268448
826,1996,Bulletproof,22230840,21195840,1035000
827,1984,The Last Starfighter,22200789,22200789,0
828,2006,The Marine,22165608,18844784,3320824
829,2010,Three Kingdoms: Resurrection of the Dragon,22139590,0,22139590
830,2009,Ip Man,22114423,0,22114423
831,2003,The Medallion,22108977,22108977,0
832,2003,Biker Boyz,22105310,21908034,197276
833,1989,Lock Up,22099847,22099847,0
834,2012,Solomon Kane,22024849,0,22024849
835,2012,The Man with the Iron Fists,22018988,15634090,6384898
836,1974,Death Wish,22000000,22000000,0
837,2015,Pokémon the Movie XY: Ring no Chomajin Hoopa,21786128,0,21786128
838,2018,Proud Mary,21709539,20868638,840901
839,1990,The Rookie,21633874,21633874,0
840,2008,Doomsday,21621188,11008770,10612418
841,1996,The Quest,21607190,21607190,0
842,2017,The Prison,21522551,207481,21315070
843,1973,Enter the Dragon,21485066,21483063,2003
844,2007,Arn - Tempelriddaren,21404122,0,21404122
845,2022,Devotion,21398489,20511938,886551
846,2021,Rurôni Kenshin: Sai shûshô — The Beginning,21318560,0,21318560
847,1991,F/X2,21075831,21075831,0
848,1997,The Postman,20841123,17650704,3190419
849,2006,Alex Rider: Operation Stormbreaker,20722450,659210,20063240
850,1986,F/X,20603715,20603715,0
851,1985,Code of Silence,20345361,20345361,0
852,1988,Action Jackson,20257000,20257000,0
853,1995,Sudden Death,20214270,20214270,0
854,1979,A Force of One,20200000,20200000,0
855,2018,Gu Jian Qi Tan Zhi Liu Yue Zhao Ming,20079528,0,20079528
856,2013,Tai Chi Hero,20016042,30830,19985212
857,1981,Outland,20000000,20000000,0
858,1983,Breathless,19910002,19910002,0
859,1996,Fled,19892205,17192205,2700000
860,1998,Hard Rain,19870567,19870567,0
861,1987,Innerspace,19816619,19816619,0
862,2018,Ye Wen hui chuan: Zhang Tianzhi,19781947,209454,19572493
863,1992,Kuffs,19618135,19618135,0
864,2012,Go-ji-jeon,19603449,0,19603449
865,1981,Nighthawks,19600000,14600000,5000000
866,2000,Get Carter,19417182,14967182,4450000
867,2002,Half Past Dead,19233280,15567860,3665420
868,2021,The Tomorrow War,19220000,0,19220000
869,1998,The Replacement Killers,19035741,19035741,0
870,1995,Johnny Mnemonic,19006201,19006201,0
871,1980,The Octagon,19000000,19000000,0
872,2011,The Heir Apparent: Largo Winch,18967760,10352,18957408
873,1988,Above the Law,18869631,18869631,0
874,2016,Asura : The City of Madness,18736628,174501,18562127
875,2011,Jûsan-nin no shikaku,18727440,802778,17924662
876,2001,3000 Miles to Graceland,18708848,15738632,2970216
877,1985,Year of the Dragon,18707466,18707466,0
878,1985,Ladyhawke,18400000,18400000,0
879,2014,Sabotage,18376443,10508518,7867925
880,2017,Zhui bu,18339343,0,18339343
881,1978,Good Guys Wear Black,18300000,18300000,0
882,2013,Machete Kills,18273009,8008161,10264848
883,2010,Repo Men,18195238,13942007,4253231
884,1996,Last Man Standing,18149997,18115927,34070
885,2012,Stolen,17967746,289773,17677973
886,2017,Shinobi no kuni,17952504,0,17952504
887,1996,The Crow: City of Angels,17897671,17897671,0
888,2015,Brothers,17856688,656688,17200000
889,2021,Monkey King Reborn,17692630,0,17692630
890,2015,The Accidental Detective,17624124,0,17624124
891,1985,Invasion U.S.A.,17536256,17536256,0
892,1970,Beneath the Planet of the Apes,17489009,17489009,0
893,1987,Masters of the Universe,17336370,17336370,0
894,1985,To Live and Die in L.A.,17307019,17307019,0
895,2009,12 Rounds,17306648,12234694,5071954
896,2017,Jiao Zhu Chuan,17283136,13588,17269548
897,1996,The Phantom,17220599,17220599,0
898,1991,Hudson Hawk,17218916,17218916,0
899,1994,No Escape,17213233,15339030,1874203
900,2016,Hardcore Henry,17187434,9252038,7935396
901,1993,Sidekicks,17180393,17180393,0
902,1992,Freejack,17033142,17033142,0
903,2015,Boruto: Naruto the Movie,17014551,259028,16755523
904,1986,The Delta Force,17005599,17005599,0
905,2007,Death Sentence,16907831,9534258,7373573
906,2020,Hiteumaen,16821116,0,16821116
907,2017,Salyut-7,16755928,0,16755928
908,1992,Deep Cover,16639799,16639799,0
909,2009,Der Baader Meinhof Komplex,16498827,476270,16022557
910,1994,Terminal Velocity,16478900,16478900,0
911,2019,Archimedes no Taisen,16454674,0,16454674
912,1986,Howard the Duck,16295774,16295774,0
913,1996,Supercop,16270600,16270600,0
914,2008,Dasavatharam,16227750,0,16227750
915,1986,Raw Deal,16209459,16209459,0
916,1997,Fire Down Below,16148906,16148906,0
917,1985,Death Wish 3,16116878,16116878,0
918,1982,Death Wish II,16100000,16100000,0
919,1989,No Holds Barred,16093651,16093651,0
920,1987,Over the Top,16057580,16057580,0
921,2022,Blacklight,16017096,9591094,6426002
922,2015,Gangnam 1970,16016282,0,16016282
923,1965,Our Man Flint,16000000,16000000,0
924,1975,Breakout,16000000,16000000,0
925,2019,Shinui Han Soo: Gwisoopyeon,15993710,67578,15926132
926,1989,Next of Kin,15942628,15942628,0
927,1994,The Next Karate Kid,15851228,8751228,7100000
928,2021,Gintama: The Final,15775367,0,15775367
929,2010,Once Upon a Time in Mumbai,15753012,302862,15450150
930,1994,The Getaway,15545115,15545115,0
931,2000,Bait,15471969,15325127,146842
932,1999,The Mod Squad,15415361,13260050,2155311
933,1990,Death Warrant,15394200,15394200,0
934,2019,Miss Bala,15364632,14998027,366605
935,2012,Autoreiji: Biyondo,15233433,3878,15229555
936,2017,Kureyon Shinchan: Shūrai! Uchūjin Shiriri,15227612,0,15227612
937,2017,North East: Past Po Ma Zhang Fei,15208575,0,15208575
938,2019,The Fable,15184913,0,15184913
939,1999,The Corruptor,15164492,15164492,0
940,2014,Shingeki no kyojin endo obu za wârudo,15161611,243356,14918255
941,2016,Three,15143255,119550,15023705
942,2016,Pitbull: Niebezpieczne Kobiety,15118739,0,15118739
943,1991,Toy Soldiers,15073942,15073942,0
944,2009,Obitaemyy ostrov,15000000,0,15000000
945,2019,Cui mian · cai jue,14917516,0,14917516
946,2017,The Game Changer,14875966,0,14875966
947,2022,Serdtse parmy (Сердце пармы),14845677,0,14845677
948,1990,Fire Birds,14760451,14760451,0
949,2020,Ogon,14746111,0,14746111
950,2001,Iron Monkey,14681661,14681661,0
951,2018,Blood-Soaked GuangChang,14651659,0,14651659
952,2016,Sword Master,14630563,75526,14555037
953,1998,Soldier,14623082,14623082,0
954,1997,Jackie Chan’s First Strike,14601662,14601662,0
955,2016,High & Low: The Movie,14590783,0,14590783
956,1989,Kickboxer,14533681,14533681,0
957,1991,Flight of the Intruder,14471440,14471440,0
958,2018,Mayakwang,14446477,0,14446477
959,1992,Rapid Fire,14356479,14356479,0
960,2008,Tropa de Elite,14319195,8744,14310451
961,2002,Ballistic: Ecks vs. Sever,14294842,14294842,0
962,1975,The Eiger Sanction,14200000,14200000,0
963,1991,Highlander II: The Quickening,14184134,14184134,0
964,2004,Taegeugki: Hwinalrimyeo,14080854,0,14080854
965,1991,The Perfect Weapon,14061361,14061361,0
966,2013,Shootout at Wadala,14038660,369310,13669350
967,2012,Hong men yan,13969132,0,13969132
968,2017,The Missing,13887720,0,13887720
969,2016,I am a Hero,13756682,0,13756682
970,1992,Trespass,13747138,13747138,0
971,1995,Highlander: The Final Dimension,13738574,13738574,0
972,1998,Desperate Measures,13678274,13678274,0
973,2020,Dam bo,13566238,0,13566238
974,2019,Dabangg 3,13553861,535000,13018861
975,2019,bbaengban,13551495,0,13551495
976,2012,Tomorrow When the War Began,13404936,4936,13400000
977,2023,Gyoseob (교섭),13325763,0,13325763
978,2008,In the Name of the King: A Dungeon Siege Tale,13233220,4775656,8457564
979,2021,OSS 117: Alerte rouge en Afrique noire,13215361,0,13215361
980,1984,The Evil That Men Do,13106767,13102025,4742
981,2018,Kobiety Mafii,13100948,0,13100948
982,2016,Saraba Abunai Deka: Long Goodbye,13074758,0,13074758
983,2000,The Way of the Gun,13061935,6047856,7014079
984,2017,Boolhandang: Nabbeun Nomdeului Sesang,13061089,0,13061089
985,2020,Jeongsang hoidam,12918661,0,12918661
986,2016,Seondal: The Man who Sells the River,12902072,97223,12804849
987,1986,Highlander,12900000,5900000,7000000
988,1998,Black Dog,12857351,12857351,0
989,2000,Highlander: Endgame,12801190,12801190,0
990,1999,The Omega Code,12678312,12610552,67760
991,2009,Street Fighter: The Legend of Chun-Li,12660287,8742261,3918026
992,2002,Extreme Ops,12624471,4835968,7788503
993,2018,PMC: deo beong-keo,12478635,0,12478635
994,2018,Kamen Raidâ Heisei Jenerêshonzu Foebâ,12465928,0,12465928
995,2007,Boy s tenyu 2,12426015,0,12426015
996,2022,Memory,12390986,7329043,5061943
997,2008,Shaolin Girl,12380512,0,12380512
998,2008,Eye for an Eye,12314832,0,12314832
999,1971,Escape from the Planet of the Apes,12300000,12300000,0
"1,000",1971,Shaft,12121618,12121618,0
"1,001",1987,Fatal Beauty,12046526,12046526,0
"1,002",2017,Outrage Coda,11983269,0,11983269
"1,003",2019,City Hunter: Shinjuku Private Eyes,11960955,0,11960955
"1,004",2013,Duong Gia Tuong,11906509,0,11906509
"1,005",2018,Sungnan Hwangso,11872000,101417,11770583
"1,006",1991,Year of the Gun,11820000,11820000,0
"1,007",1988,Bloodsport,11806119,11806119,0
"1,008",1994,3 Ninjas Kick Back,11744960,11744960,0
"1,009",2013,Dhoom 3,11723620,8031955,3691665
"1,010",2006,Banlieue 13,11599903,1200216,10399687
"1,011",1999,Wing Commander,11578022,11578022,0
"1,012",2018,Wu Lin Guai Shou,11573104,0,11573104
"1,013",2000,The Legend of Drunken Master,11546543,11546543,0
"1,014",2022,wigyein 1bu (외계+인 1부),11443544,168309,11275235
"1,015",2018,Thaanaa Serndha Koottam,11383175,0,11383175
"1,016",2012,Reign of Assassins,11354230,0,11354230
"1,017",1997,Double Team,11328565,11328565,0
"1,018",2021,The Fable: Chapter Two,11325545,0,11325545
"1,019",1987,Extreme Prejudice,11307844,11307844,0
"1,020",2013,Toshokan Senso,11294442,0,11294442
"1,021",1991,One Good Cop,11276846,11276846,0
"1,022",1999,Chill Factor,11263966,11263966,0
"1,023",2017,Overdrive,11247280,0,11247280
"1,024",1986,Big Trouble in Little China,11208967,11100000,108967
"1,025",1998,Deep Rising,11203026,11203026,0
"1,026",2015,Daeho,11172111,0,11172111
"1,027",2018,Agnyaathavaasi,11158499,0,11158499
"1,028",1984,Tank,11131530,11131530,0
"1,029",2010,Jonah Hex,11022696,10547117,475579
"1,030",2020,Tsumi no Koe,10983063,0,10983063
"1,031",2017,High & Low The Movie 2 / End of Sky,10956658,0,10956658
"1,032",2001,Le pacte des loups,10948572,10948572,0
"1,033",2013,Himmatwala,10871870,270880,10600990
"1,034",2019,The Courier,10862201,0,10862201
"1,035",2015,Hei Mao Jing Zhang Zhi Fei Cui Zhi Xing,10849131,0,10849131
"1,036",2019,Saja,10776117,102982,10673135
"1,037",1985,Missing in Action 2: The Beginning,10755447,10755447,0
"1,038",1982,The Beastmaster,10751126,10751126,0
"1,039",2021,Realm of Terracotta,10740000,0,10740000
"1,040",2017,Ajin,10735896,0,10735896
"1,041",1999,Universal Soldier II: The Return,10717421,10447421,270000
"1,042",1993,RoboCop 3,10696210,10696210,0
"1,043",1989,The Package,10647219,10647219,0
"1,044",2006,A Dirty Carnival,10638098,0,10638098
"1,045",2009,The Boondock Saints 2: All Saints Day,10629320,10273187,356133
"1,046",2005,The Great Raid,10597070,10166502,430568
"1,047",2015,Deo Pon,10510802,0,10510802
"1,048",1985,American Ninja,10499000,10499000,0
"1,049",2017,Baadshaho,10497601,0,10497601
"1,050",1982,Silent Rage,10490791,10490791,0
"1,051",2004,Steamboy,10468867,468867,10000000
"1,052",1997,Operation Condor,10461161,10461161,0
"1,053",2017,Kolovrat,10424668,0,10424668
"1,054",2013,Jeonseolui Joomeok,10388780,134213,10254567
"1,055",2018,Kin,10383524,5718096,4665428
"1,056",2018,Long Xia Xing Jing,10381054,85172,10295882
"1,057",1983,Revenge of the Ninja,10325628,10325628,0
"1,058",1998,Knock Off,10319915,10319915,0
"1,059",2017,Kamen Raidâ Heisei Jenerêshonzu Fainaru: Birudo…,10289397,0,10289397
"1,060",2017,Kuang Shou,10217493,0,10217493
"1,061",1999,Hak Hap,10211278,10211278,0
"1,062",2008,Punisher: War Zone,10157534,8050977,2106557
"1,063",2018,Ying Xiong Ben Se 2018,10079961,0,10079961
"1,064",1988,Shakedown,10068039,10068039,0
"1,065",1993,Boiling Point,10058318,10058318,0
"1,066",2000,Godzilla 2000,10037390,10037390,0
"1,067",1989,Cyborg,10030875,10030875,0
"1,068",2012,For Greater Glory: The True Story of Cristiada,10026255,5669081,4357174
