Rank,Released,Movies,worldwide box office $,domestic box office $,international box office $
116,2013,Pacific Rim,411002906,101802906,309200000
117,2017,Kingsman: The Golden Circle,408803696,100234838,308568858
118,2003,X-Men 2,406348630,214949694,191398936
119,2015,Kingsman: The Secret Service,404561724,128261724,276300000
120,2019,Alita: Battle Angel,401900040,85838210,316061830
121,2021,Eternals,401731759,164870264,236861495
122,2006,Mission: Impossible III,399387745,133501348,265886397
123,2021,Dune,391774790,108327830,283446960
124,2022,Black Adam,391261706,168152111,223109595
125,2016,Independence Day: Resurgence,384169424,103144286,281025138
126,2019,Godzilla: King of the Monsters,383299914,110500138,272799776
127,2007,Live Free or Die Hard,382288147,134529403,247758744
128,2021,Black Widow,379751131,183651655,196099476
129,1998,Godzilla,376000000,136314294,239685706
130,2013,G.I. Joe: Retaliation,375740705,122523060,253217645
131,2009,X-Men Origins: Wolverine,374825760,179883157,194942603
132,2011,Captain America: The First Avenger,370569776,176654505,193915271
133,2014,Edge of Tomorrow,367028980,100206256,266822724
134,1995,Die Hard: With a Vengeance,366101666,100012499,266089167
135,2001,Jurassic Park III,365900000,181166115,184733885
136,2015,Mad Max: Fury Road,365769378,153636354,212133024
137,2009,Terminator Salvation,365491792,125322469,240169323
138,1994,True Lies,365300000,146282411,219017589
139,2019,Shazam!,363563907,140371656,223192251
140,2023,John Wick: Chapter 4,363518350,171155296,192363054
141,1999,The World is Not Enough,361730660,126930660,234800000
142,2020,Tenet,360240189,58504105,301736084
143,2009,Fast & Furious,359347833,155064265,204283568
144,2005,Batman Begins,358858124,205343774,153514350
145,2002,Minority Report,358824714,132024714,226800000
146,1986,Top Gun,357469522,180470489,176999033
147,1995,Goldeneye,356429933,106429941,249999992
148,2011,X-Men: First Class,355408305,146408305,209000000
149,2010,The Karate Kid,351774938,176591618,175183320
150,2004,"I, Robot",348629585,144801023,203828562
151,2014,The Maze Runner,348319861,102427862,245891999
152,2001,Rush Hour 2,347425832,226164286,121261546
153,2017,xXx: Return of Xander Cage,345033359,44898413,300134946
154,2008,Wanted,342416460,134508551,207907909
155,1997,Tomorrow Never Dies,339504276,125304276,214200000
156,1995,Batman Forever,336529144,184031112,152498032
157,2010,Prince of Persia: Sands of Time,336359676,90759676,245600000
158,1996,The Rock,336069511,134069511,202000000
159,2016,The Great Wall,334486852,45157105,289329747
160,2005,Fantastic Four,333132750,154696080,178436670
161,2014,300: Rise of an Empire,330780051,106580051,224200000
162,2015,Taken 3,327656424,89256424,238400000
163,2019,John Wick: Chapter 3 — Parabellum,327203701,171016727,156186974
164,2021,Free Guy,323473792,121626598,201847194
165,2010,Robin Hood,322459006,105487148,216971858
166,1992,Lethal Weapon 3,319700000,144731527,174968473
167,2009,Inglourious Basterds,316802281,120774594,196027687
168,1997,Air Force One,315268353,172956409,142311944
169,2012,Battleship,313477717,65233400,248244317
170,2012,The Expendables 2,311979256,85028192,226951064
171,2015,Maze Runner: The Scorch Trials,310566162,81697192,228868970
172,1996,Ransom,308700000,136492681,172207319
173,2016,Dangal,305149461,12391761,292757700
174,2018,Skyscraper,304858121,68420120,236438001
175,2013,A Good Day to Die Hard,304249198,67349198,236900000
176,2009,G.I. Joe: The Rise of Cobra,302469017,150201498,152267519
177,1985,Rambo: First Blood Part II,300400000,150415432,149984568
178,2004,Van Helsing,300150546,120150546,180000000
179,2018,Ocean’s 8,297718711,140218711,157500000
180,2000,X-Men,296872367,157299717,139572650
181,2015,The Divergent Series: Insurgent,295075882,130179072,164896810
182,2018,Pacific Rim: Uprising,290930148,59874525,231055623
183,2007,Fantastic Four: Rise of the Silver Surfer,289480691,131921738,157558953
184,2013,Elysium,286192091,93050117,193141974
185,1998,Lethal Weapon 4,285400000,130444603,154955397
186,1994,Speed,283200000,121248145,161951855
187,2018,Tomb Raider,273477501,58250803,215226698
188,2003,Bad Boys II,273271982,138540870,134731112
189,2010,The Expendables,268268174,103068524,165199650
190,2002,xXx,267200000,141930000,125270000
191,1992,Batman Returns,266824291,162833635,103990656
192,2018,Maze Runner: The Death Cure,265878536,58032443,207846093
193,1995,Waterworld,264246220,88246220,176000000
194,1997,The Fifth Element,263892820,63570862,200321958
195,2011,Real Steel,263880341,85463309,178417032
196,2017,Baahubali 2: The Conclusion,263502914,18985794,244517120
197,1990,Total Recall,261399830,119394839,142004991
198,2000,Charlie's Angels,259736090,125305545,134430545
199,2010,Knight and Day,258751370,76423035,182328335
200,2007,Rush Hour 3,256585882,140125968,116459914
201,2017,Gong fu yu jia,256004127,362657,255641470
202,1993,Cliffhanger,255000000,84049211,170950789
203,2013,After Earth,251499665,60522097,190977568
204,1998,Enemy of the State,250649836,111549836,139100000
205,2019,Terminator: Dark Fate,250367666,62253077,188114589
206,2017,Xi You Fu Yao Pian,248805149,880346,247924803
207,2019,Dark Phoenix,246356895,65845974,180510921
208,1998,Rush Hour,245300000,141186864,104113136
209,2003,Hulk,245031679,132177234,112854445
210,2014,RoboCop,242981799,58607007,184374792
211,1997,Face/Off,241199984,112276146,128923838
212,2016,Assassin’s Creed,240759682,54647948,186111734
213,1990,Die Hard 2,239813888,117323878,122490010
214,1997,Batman & Robin,238317814,107325195,130992619
215,2003,2 Fast 2 Furious,236410607,127120058,109290549
216,1996,Eraser,234400000,101295562,133104438
217,2000,Gone in 60 Seconds,232643008,101643008,131000000
218,2007,Ghost Rider,229545589,115802596,113742993
219,2011,The Green Hornet,229155503,98780042,130375461
220,1989,Lethal Weapon 2,227300000,147253986,80046014
221,2003,Charlie's Angels: Full Throttle,227163273,100814328,126348945
222,1997,Con Air,224117573,101117573,123000000
223,2014,Non-Stop,222383055,91742160,130640895
224,2005,Constantine,221593554,75976178,145617376
